userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (318,9.72589768934995e-05) (2858,9.715300984680653e-05) (595,8.675128628965467e-05)* (2762,8.203421748476103e-05)* (356,7.991363963810727e-05) (2396,7.860505866119638e-05) (593,7.622223347425461e-05) (1197,7.588065636809915e-05) (34,7.534218457294628e-05) (364,7.197745435405523e-05) (1198,7.160907989600673e-05) (1196,6.84741316945292e-05) (1210,6.529257370857522e-05) (1259,6.403591396519914e-05) (2081,6.384050357155502e-05) (2078,6.375306111294776e-05) (1265,6.294687045738101e-05) (2080,6.291845056694001e-05) (2716,5.9942623920505866e-05) (110,5.8792084018932655e-05)
181: (260,0.00020012231834698468) (2858,0.00015845023153815418)* (593,0.00014835060574114323)* (858,0.000126084458315745) (2762,0.0001156181824626401) (1214,0.00011120249109808356) (1617,9.914152906276286e-05)* (1610,8.892538608051836e-05)* (2918,8.837237692205235e-05)* (1580,8.398199133807793e-05) (1387,8.13512597233057e-05) (1,8.10325364000164e-05) (2804,8.020029054023325e-05) (2997,7.964924589032307e-05) (2396,7.893903966760263e-05) (1193,7.78116809669882e-05) (1242,7.241349521791562e-05)* (2194,7.111299782991409e-05)* (3114,7.090706640155986e-05) (1220,6.999649485806003e-05)*
182: (260,0.0001387347438139841) (589,0.00013831087562721223) (318,0.00013211299665272236)* (1210,0.0001313191169174388) (2997,0.0001216194432345219) (1196,0.00011676154099404812) (480,0.00010770180961117148) (1197,0.00010257343092234805) (457,9.439861605642363e-05) (2355,9.283971303375438e-05) (2716,9.139374742517248e-05) (608,9.009509085444734e-05) (1617,8.986480679595843e-05) (2959,8.919068932300434e-05) (2599,8.717671153135598e-05) (1198,8.546271419618279e-05) (3793,8.23166046757251e-05) (1784,8.144399180309847e-05)* (1213,7.915430614957586e-05) (3147,7.795300189172849e-05)
183: (858,6.283925176830962e-05) (912,5.836571290274151e-05) (1267,5.740281267208047e-05) (1193,5.6691973441047594e-05) (608,5.117239925311878e-05) (1617,5.1133141823811457e-05) (541,4.917007390758954e-05) (1221,4.858509419136681e-05) (903,4.692449510912411e-05)* (593,4.605529466061853e-05) (527,4.591124161379412e-05) (923,4.5809796574758366e-05) (919,4.4756576244253665e-05) (1225,4.300377258914523e-05) (2396,4.2506806494202465e-05) (922,4.1739804146345705e-05) (1284,4.150886888965033e-05)* (1212,3.9101127185858786e-05) (1247,3.8317277358146384e-05) (1208,3.679144356283359e-05)
184: (260,0.0001238803961314261) (1197,9.926985512720421e-05) (1097,9.762271656654775e-05)* (3114,9.609652624931186e-05) (318,8.785681711742654e-05) (1210,8.431077003479004e-05) (593,7.608937448821962e-05) (1022,7.508439011871815e-05)* (912,7.097821071511135e-05) (858,6.965109787415713e-05) (1282,6.810647755628452e-05) (1307,6.67497151880525e-05) (356,6.661769293714315e-05) (1947,6.460678559960797e-05) (2355,6.431021756725386e-05)* (1265,6.350868352456018e-05) (1136,6.327631126623601e-05) (2137,6.262962415348738e-05) (899,6.252177263377234e-05) (2396,6.139149627415463e-05)
185: (2571,0.0002483135904185474) (457,0.0002466395671945065) (733,0.00016662322741467506) (3753,0.00016477625467814505) (316,0.0001608947932254523) (1356,0.0001599178067408502)* (2916,0.00015860953135415912)* (648,0.0001582764962222427) (1580,0.00015666412946302444)* (589,0.00015656912000849843) (349,0.00015480091678909957) (1370,0.0001545096602058038)* (2628,0.00015204113151412457) (380,0.0001345140626654029) (1527,0.0001301231823163107) (2058,0.00012417645484674722) (1722,0.0001212692295666784) (1608,0.00011841463856399059) (3082,0.00011764773080358282) (2273,0.00011610629735514522)
186: (2858,0.00018492588424123824)* (2762,0.00015439846902154386)* (2355,0.00011800148786278442) (2706,0.00011570885544642806)* (223,0.00011119058763142675) (1196,0.00011019972589565441)* (2959,0.00010930567077593878) (3114,0.00010857390589080751) (1210,0.00010676532110664994)* (593,8.714995783520862e-05) (1127,7.934106542961672e-05)* (1197,7.421104237437248e-05)* (3005,7.33025444787927e-05) (589,7.296145486179739e-05)* (110,7.262441795319319e-05) (3408,7.213950448203832e-05) (2694,7.203314453363419e-05)* (3175,7.007701060501859e-05) (3623,6.962392944842577e-05) (3174,6.961465260246769e-05)
187: (2997,6.747062434442341e-05) (1213,6.243467942113057e-05)* (2908,5.7611621741671115e-05)* (2324,5.029787280363962e-05) (2336,4.894908852293156e-05) (3160,4.662166611524299e-05)* (1784,4.604611240210943e-05)* (2395,4.318938954384066e-05)* (3006,4.1485131077934057e-05) (25,3.780574843403883e-05)* (3418,3.725704664248042e-05) (3260,3.7157980841584504e-05) (357,3.698184809763916e-05)* (3408,3.6515815736493096e-05) (1265,3.643228410510346e-05)* (527,3.6006851587444544e-05) (3481,3.581125201890245e-05)* (1183,3.5567183658713475e-05) (1639,3.54382318619173e-05)* (1641,3.5223813029006124e-05)*
188: (2858,0.0001015618399833329) (2997,7.859623292461038e-05) (2683,7.464180089300498e-05) (2706,7.298451237147674e-05) (2762,6.599341577384621e-05) (3543,6.080303865019232e-05) (223,6.062344618840143e-05) (2355,5.956392124062404e-05) (2707,5.925216828472912e-05) (3176,5.594707545242272e-05) (3005,5.493623029906303e-05) (2336,5.426114876172505e-05) (1093,5.2786974265472963e-05) (3174,5.2729857998201624e-05) (2433,5.270010296953842e-05) (2908,5.218797014094889e-05) (2396,5.19986824656371e-05) (2716,5.166226765140891e-05) (2694,5.018209049012512e-05) (2688,5.011565372115001e-05)
189: (2858,0.00014415974146686494)* (527,0.00013136010966263711) (2959,0.00012357535888440907) (2683,0.0001158696977654472) (1198,0.00011106107558589429) (110,0.00010701360588427633) (50,0.00010138178913621232) (260,9.976905857911333e-05) (1210,9.971042891265824e-05) (3578,9.867829794529825e-05) (296,9.699667134555057e-05) (1213,9.540598694002256e-05) (457,9.518462320556864e-05) (2571,9.440660505788401e-05) (2997,9.279860387323424e-05) (356,8.748201071284711e-05) (3793,8.69051946210675e-05) (1196,8.267016528407112e-05) (1617,8.046602306421846e-05) (2000,7.945742254378274e-05)
190: (1196,0.00012533384142443538) (608,0.00010139129153685644)* (1198,0.0001013612054521218) (318,0.00010037867468781769) (527,9.799673716770485e-05) (1210,9.465367475058883e-05) (1197,8.898924716049805e-05) (1617,8.817528578219935e-05) (2571,8.733038703212515e-05)* (1213,8.53983437991701e-05) (589,8.50805954542011e-05) (50,8.385605906369165e-05) (1221,8.359866478713229e-05)* (2762,8.323614747496322e-05) (2997,8.274731953861192e-05) (110,8.166575571522117e-05) (1270,7.375262066489086e-05) (1240,7.215384539449587e-05) (2791,7.0644797233399e-05)* (2396,7.056483445921913e-05)
191: (2762,0.00015776547661516815) (3114,0.00015524792252108455) (2571,0.00014964774891268462) (2355,0.00014673978148493916) (223,0.00014650712546426803) (2706,0.00014494619972538203) (588,0.0001406222436344251) (2959,0.0001394055288983509) (2683,0.00013583760301116854) (1,0.00013153805048204958) (2028,0.00012951550888828933) (595,0.00012578937457874417) (3081,0.00012520526070147753) (457,0.00012415391393005848) (364,0.00011959968833252788) (2997,0.00011292850103927776) (1907,0.00011049889144487679) (2687,0.00011041413381462917) (2694,0.00010989846487063915) (733,0.00010827799269463867)
192: (2028,0.00017011280579026788) (1210,0.00016253373178187758)* (593,0.0001546331768622622)* (1198,0.0001438634644728154)* (527,0.00013621486141346395)* (2762,0.0001277452684007585)* (296,0.0001272913214052096)* (480,0.00011646234634099528) (1213,0.00010379118612036109) (1,9.615773160476238e-05) (1214,9.579244942869991e-05)* (1221,9.108433732762933e-05) (1580,9.071665408555418e-05) (1704,8.829229773255065e-05) (3578,8.197631541406736e-05) (1259,8.021106623345986e-05) (3114,7.953623571665958e-05) (1089,7.867703243391588e-05)* (3793,7.556434866273776e-05) (2628,7.442376227118075e-05)
193: (2396,0.00010762602323666215) (912,9.06592613318935e-05)* (593,8.613926183898002e-05) (858,8.555841486668214e-05) (527,8.087645255727693e-05) (1193,7.719295535935089e-05) (1230,7.63378047849983e-05) (1197,7.1886126534082e-05)* (260,6.973773997742683e-05) (1196,6.44341271254234e-05) (904,6.192554428707808e-05) (1252,5.994551975163631e-05) (1213,5.947529280092567e-05) (923,5.588323256233707e-05) (1247,5.565172978094779e-05) (50,5.5487667850684375e-05)* (1221,5.486068766913377e-05) (1267,5.093913568998687e-05) (2355,5.093209256301634e-05) (2395,5.086254532216117e-05)
194: (597,6.27422341494821e-05) (539,6.045131158316508e-05) (1784,5.6502096413169056e-05) (11,5.613055327557959e-05) (2424,4.9369122280040756e-05) (1777,4.787673242390156e-05) (7,4.479991548578255e-05) (2302,4.3075666326330975e-05) (1393,4.158251249464229e-05) (2671,4.145287675783038e-05) (104,3.926208592019975e-05) (3253,3.893693065037951e-05) (3114,3.8843842048663646e-05) (1721,3.6826928408117965e-05) (357,3.5494529583957046e-05) (2321,3.4840533771784976e-05)* (1923,3.409976852708496e-05) (3809,3.3291194995399565e-05) (838,3.262767495471053e-05) (2572,3.2536001526750624e-05)
195: (3910,3.1592797313351184e-05)* (3952,2.318676888535265e-05) (3535,2.1480811483343132e-05) (162,2.0663712348323315e-05) (3949,1.975631676032208e-05)* (1041,1.938758032338228e-05) (3783,1.8564536730991676e-05) (2291,1.8463359083398245e-05)* (581,1.65153069247026e-05) (2186,1.587602855579462e-05) (1089,1.5060146324685775e-05)* (3863,1.4907347576809116e-05) (1284,1.4166006621962879e-05) (246,1.404179147357354e-05) (3571,1.3998946087667719e-05) (268,1.3760689398623072e-05) (3893,1.3732056686421856e-05) (3317,1.3061499885225203e-05) (3435,1.294349567615427e-05) (1237,1.2886331205663737e-05)*
196: (1617,0.00024271993606816977) (593,0.00023972314374987036) (858,0.00019921385683119297) (1213,0.00018492847448214889)* (527,0.00018457915575709194) (318,0.0001759043225320056) (2997,0.00016469431284349412) (589,0.00015663207159377635) (1196,0.0001555592898512259) (912,0.00013999368820805103) (1259,0.00013369078806135803) (260,0.00012863994925282896) (1358,0.00012862561561632901) (2028,0.00012839201372116804) (2396,0.0001258084666915238) (541,0.00012454262468963861) (1198,0.0001232008944498375) (3160,0.00011939324031118304) (1197,0.00011775535676861182) (2762,0.0001174741264549084)*
197: (2028,0.00022490095579996705) (110,0.00021019561972934753) (2762,0.00020757973834406585) (2571,0.00020097331434953958) (1617,0.00019906381203327328) (527,0.00019837710715364665) (1210,0.0001977917127078399) (260,0.00018714876205194741) (3578,0.00018478042329661548) (1196,0.00018418907711748034) (589,0.00018379854736849666) (2997,0.00018345149874221534) (2706,0.00018183296197094023) (2959,0.00017607629706617445) (3753,0.00016751977091189474) (50,0.00016701580898370594) (1213,0.00016321752627845854) (223,0.00015610374975949526) (356,0.00015240405627992004) (3408,0.00014914436906110495)
198: (1196,0.00021076150005683303)* (2571,0.00018321783863939345)* (480,0.00014198855205904692)* (2762,0.00010864632349694148) (2858,0.00010823550837812945) (593,8.876775245880708e-05) (2355,8.840878581395373e-05)* (1356,8.161499135894701e-05)* (318,8.110299677355215e-05) (2918,8.003631955944002e-05)* (1127,7.758034189464524e-05) (2396,7.744564936729148e-05) (3578,7.689694029977545e-05) (588,7.538822683272883e-05)* (527,7.47920130379498e-05) (733,7.458902837242931e-05) (1214,7.361236930591986e-05) (1200,7.323799218283966e-05) (1721,7.243632717290893e-05) (595,6.781000411137938e-05)
199: (1210,8.746697858441621e-05)* (1580,7.446674135280773e-05)* (318,5.98530714341905e-05) (356,5.977918772259727e-05)* (2916,5.399230576585978e-05) (593,5.050364779890515e-05) (1198,4.790189996128902e-05) (1240,4.616230580722913e-05) (1704,4.46411213488318e-05) (1,4.365354834590107e-05) (1527,4.229847763781436e-05) (2762,4.168994564679451e-05) (1721,4.1633815271779895e-05) (648,3.923500844393857e-05) (1291,3.86179490305949e-05) (1265,3.8531154132215306e-05) (329,3.836480391328223e-05) (1573,3.8121961551951244e-05) (3147,3.687301796162501e-05) (349,3.6302801163401455e-05)*
200: (2683,6.101054168539122e-05) (2858,5.9788715589093044e-05) (2694,5.1330887799849734e-05)* (2355,4.769712541019544e-05) (3615,4.757606075145304e-05) (3125,4.501167859416455e-05) (3578,4.142214675084688e-05) (3624,3.728964293259196e-05) (2762,3.722344263223931e-05) (3623,3.705608833115548e-05) (2959,3.668388308142312e-05) (2706,3.6017969250679016e-05) (2605,3.539659519447014e-05) (3082,3.425779868848622e-05) (2396,3.3292752050329e-05) (2394,3.265312625444494e-05) (1,3.183239823556505e-05) (2724,3.13433884002734e-05) (2759,3.105644282186404e-05) (2431,3.1049377867020667e-05)
201: (318,6.451272201957181e-05) (1721,5.9694859373848885e-05)* (1265,5.926280209678225e-05) (1393,5.802578743896447e-05) (356,5.75362573727034e-05) (597,5.69567309867125e-05) (11,5.479992614709772e-05) (2762,5.163727473700419e-05) (1704,4.865582013735548e-05)* (357,4.863455251324922e-05) (39,4.657986937672831e-05) (17,4.5423632400343195e-05) (440,4.486142279347405e-05) (3255,4.2817468056455255e-05) (2997,4.228395482641645e-05) (1307,4.0981183701660484e-05) (2291,4.094728865311481e-05) (265,3.974679566454142e-05)* (2671,3.915431443601847e-05) (34,3.879122232319787e-05)
202: (110,0.0001218512115883641)* (589,0.00011905133578693494)* (2762,0.00011433003237470984) (1610,9.569029498379678e-05)* (593,9.26712091313675e-05)* (1197,8.978232654044405e-05) (1580,8.917421655496582e-05)* (1270,8.46791299409233e-05)* (527,8.112114301184192e-05) (318,8.093833457678556e-05) (2396,7.922406803118065e-05)* (1721,7.885329250711948e-05) (3753,7.771674427203834e-05)* (3114,7.427328091580421e-05) (2916,7.338545401580632e-05) (1240,6.956159631954506e-05) (2000,6.913064862601459e-05)* (858,6.771514017600566e-05) (3793,6.66391642880626e-05) (2706,6.653807940892875e-05)
203: (318,0.00011652031389530748) (1704,9.821812273003161e-05) (527,9.288903675042093e-05) (1393,9.034130198415369e-05) (1721,7.24051205907017e-05) (150,7.038872718112543e-05) (539,6.871305959066376e-05) (3147,6.627490802202374e-05) (1183,6.519004091387615e-05) (597,6.437212869059294e-05) (3100,6.216397741809487e-05) (2501,6.191272404976189e-05) (593,6.1029521020827815e-05)* (2671,5.932999920332804e-05) (266,5.914921348448843e-05) (1682,5.873036207049154e-05) (296,5.7906672736862674e-05) (590,5.7542583817848936e-05) (62,5.6781274906825274e-05) (36,5.5907181376824155e-05)
204: (2571,0.00020674565166700631)* (110,0.00017020560335367918)* (2858,0.0001409724645782262) (1580,0.00013177945220377296) (356,0.00012996973237022758)* (2396,0.00010017312888521701) (296,9.46217478485778e-05) (3147,8.687829540576786e-05)* (1356,8.429009176325053e-05) (1617,8.266720396932214e-05) (1387,8.015280036488548e-05) (2791,7.710397039772943e-05)* (1193,7.647865277249366e-05) (1968,7.607742736581713e-05)* (2918,7.565283158328384e-05) (34,7.472257857443765e-05) (1213,7.410985563183203e-05) (349,7.222955900942907e-05)* (1307,7.174528582254425e-05) (1136,7.022743375273421e-05)*
205: (2858,0.0001044566452037543) (608,8.365748362848535e-05) (912,7.597357762278989e-05) (908,6.97496798238717e-05) (1193,6.70169829390943e-05) (541,6.647051486652344e-05) (111,6.333218334475532e-05)* (1267,6.219452916411683e-05) (1196,6.160246266517788e-05) (1148,6.143510108813643e-05) (913,5.440217864816077e-05) (593,5.423519542091526e-05) (923,5.420067100203596e-05) (1213,5.40303262823727e-05) (2804,5.346581747289747e-05) (2186,5.329001214704476e-05) (1206,5.3078609198564664e-05) (919,5.150975994183682e-05)* (2599,5.126070755068213e-05) (3421,5.056974259787239e-05)
206: (260,0.00025481442571617663)* (2571,0.00023406525724567473)* (589,0.00023292189871426672) (541,0.00019292774959467351) (1240,0.00018346132128499448) (1210,0.00017595119425095618) (2858,0.00015571886615362018) (1198,0.00014372293662745506) (913,0.00013513829617295414) (2916,0.00013204905553720891) (3408,0.00012809214240405709) (3623,0.0001259629352716729) (1284,0.00012193125439807773) (110,0.00011882452963618562) (2762,0.00011609995272010565) (924,0.00011544035078259185) (3578,0.00011429044388933107) (3753,0.00011382918455637991) (1270,0.00011241395986871794) (1580,0.0001123043621191755)
207: (260,9.381279232911766e-05) (3753,9.356066584587097e-05) (589,8.623891335446388e-05) (3578,8.556117245461792e-05) (3624,8.031690231291577e-05) (110,8.000301022548229e-05) (3897,7.282468868652359e-05) (480,6.629045674344525e-05) (2858,6.430665962398052e-05)* (3793,6.223822128959e-05)* (3160,6.210507126525044e-05) (2571,5.7726269005797803e-05) (3911,5.676036744262092e-05) (1240,5.6600958487251773e-05) (2948,5.631244493997656e-05) (3745,5.377297202358022e-05) (457,5.368497295421548e-05) (3623,5.3538849897449836e-05) (3408,5.299486292642541e-05) (524,5.264407809590921e-05)
208: (1196,0.00017583476437721401)* (858,0.00016159714141394943) (608,0.00013036974996794015) (1210,0.00012872859952040017) (2571,0.00012523672194220126) (1214,0.00012391955533530563)* (1221,0.00012169396359240636) (1213,0.00010493775334907696) (1197,0.00010139785445062444) (541,9.579179459251463e-05)* (1270,9.254174801753834e-05) (1387,8.811366569716483e-05)* (912,8.47262199386023e-05) (2396,8.279386383946985e-05) (750,8.239725866587833e-05) (1259,8.078801329247653e-05) (1225,8.071951742749661e-05) (111,7.743573951302096e-05) (2716,7.525028922827914e-05) (2791,7.279649435076863e-05)
209: (223,8.907968003768474e-05) (2683,8.669992530485615e-05) (3174,8.062187407631427e-05) (2706,7.478074257960543e-05)* (2694,7.242649007821456e-05) (3005,7.067096157697961e-05) (2908,7.0155096182134e-05) (2759,6.781722186133265e-05) (2599,6.396010576281697e-05) (785,6.342808046611026e-05) (2770,6.14269301877357e-05) (2707,6.117800512583926e-05) (2395,5.534641968552023e-05) (2858,5.358976704883389e-05) (1911,5.279075412545353e-05) (2336,4.9219092034036294e-05) (2997,4.866650851909071e-05) (3285,4.811460530618206e-05) (2722,4.750551670440473e-05) (2712,4.6552395360777155e-05)
210: (457,0.00012780894758179784) (2571,0.0001067185730789788) (589,0.00010062839282909408) (1370,9.331016190117225e-05) (2916,9.242258238373324e-05) (110,9.089065133593976e-05) (3256,7.89187106420286e-05) (2628,7.710828504059464e-05) (1608,7.68979371059686e-05) (474,7.113958417903632e-05) (1573,6.909789226483554e-05) (2028,6.469052459578961e-05) (1356,6.099752863519825e-05) (2006,5.8936751884175465e-05)* (1597,5.756235259468667e-05) (3753,5.382901872508228e-05) (329,5.1140425057383254e-05) (3107,5.046683509135619e-05) (3555,4.956658085575327e-05) (3623,4.883853762294166e-05)
211: (3555,3.4974993468495086e-05)* (3952,3.375520100235008e-05) (3481,3.3133415854536e-05) (524,3.2023570383898914e-05) (1035,3.082532566622831e-05) (3916,3.0403056371142156e-05) (3753,3.0159959351294674e-05)* (3624,2.8953123546671122e-05) (3409,2.88601586362347e-05) (1269,2.757580477918964e-05) (1249,2.6713958504842594e-05)* (3755,2.598478204163257e-05) (908,2.5284149160142988e-05) (3926,2.465992838551756e-05) (3173,2.4210838091676123e-05) (3300,2.3999415134312585e-05)* (3932,2.286124072270468e-05) (3929,2.221467366325669e-05) (3911,2.1586822185781784e-05) (3915,2.1489142454811372e-05)
212: (260,0.00012404940207488835) (1210,0.00011543319124029949) (2571,0.0001078390414477326) (1196,0.00010618583473842591) (110,9.552104893373325e-05) (356,8.624111796962097e-05) (2918,8.292929851450026e-05)* (593,8.093383803498e-05)* (1610,7.60153416194953e-05) (1,7.516417099395767e-05) (2858,7.454687874997035e-05) (1265,7.445515802828595e-05) (318,7.049486885080114e-05)* (2916,6.51922237011604e-05) (858,6.35429096291773e-05) (2804,6.315815699053928e-05) (2797,6.247220153454691e-05)* (2762,6.152617424959317e-05) (1097,6.009714343235828e-05) (3421,5.951677667326294e-05)
213: (480,0.00017147744074463844) (2571,0.00016095170576591045) (2396,0.00015027295739855617) (589,0.00014709020615555346) (1265,0.00014129986811894923) (1196,0.00014086891314946115) (356,0.00013320657308213413) (457,0.0001282379380427301) (110,0.00012631098798010498)* (1198,0.0001262676960323006) (597,0.00011637070565484464) (1721,0.00011433056351961568) (539,0.00010558458598097786) (2028,0.00010557578934822232) (1610,0.00010060457861982286) (1784,9.593759023118764e-05) (1270,9.526435314910486e-05) (2628,9.49393943301402e-05) (1197,9.226869588019326e-05) (17,9.174644947052002e-05)
214: (2396,8.207907376345247e-05) (223,6.99844749760814e-05)* (3160,6.380298145813867e-05) (296,6.19266793364659e-05) (2959,5.85409979976248e-05) (3897,5.814044925500639e-05) (2762,5.641828465741128e-05) (3751,5.5842974688857794e-05)* (1148,5.483819040819071e-05) (2700,5.469556344905868e-05) (2355,5.4171770898392424e-05) (34,5.293212961987592e-05) (1265,5.266494918032549e-05) (608,5.2419145504245535e-05) (318,4.74824701086618e-05) (3911,4.562953836284578e-05) (39,4.457289833226241e-05) (2692,4.4434644223656505e-05) (1213,4.360592720331624e-05) (1136,4.1122260881820694e-05)
215: (2571,0.000257901061559096) (589,0.0002348428388359025) (1196,0.0002340815553907305) (1580,0.00021335945348255336) (1356,0.00017971057968679816) (1270,0.00015848909970372915) (1240,0.00015169479593168944) (329,0.00014585774624720216) (1200,0.00014394271420314908) (1214,0.00012741303362417966) (110,0.00012724014231935143) (3175,0.00012575151049531996) (1376,0.00012467459600884467) (780,0.0001231502537848428) (541,0.00012282289389986545) (1527,0.00012257917842362076) (1374,0.00011892237671418115) (2858,0.00011768750118790194) (1127,0.00011547205212991685) (1198,0.00011040570825571194)
216: (858,6.891020893817768e-05) (1270,5.880355092813261e-05) (527,5.678476736648008e-05)* (1221,5.647151920129545e-05) (1307,5.373118256102316e-05)* (2028,5.246628643362783e-05)* (318,5.173273530090228e-05)* (1234,5.108460391056724e-05) (919,5.065313962404616e-05) (1197,4.879415428149514e-05) (1259,4.4486881961347535e-05) (1230,4.349058144725859e-05) (2918,4.34532921644859e-05)* (260,4.228451143717393e-05) (2396,4.218125104671344e-05)* (34,4.104537583771162e-05) (1210,3.941238537663594e-05) (1,3.925363489543088e-05) (3072,3.9136368286563084e-05) (1097,3.8005127862561494e-05)*
217: (2571,0.00024934308021329343) (2916,0.0001581273099873215) (2959,0.00013072146975900978) (457,0.00013067929830867797) (2762,0.00013041838246863335) (2858,0.00012818598770536482)* (1036,0.00012297711509745568) (1210,0.0001187782472698018) (2706,0.00011635166447376832) (1580,0.0001065832911990583) (2683,0.00010583244147710502) (349,0.00010267935431329533) (3005,0.00010258646943839267) (2628,0.00010252746869809926) (32,0.00010242202552035451) (3408,0.00010067348193842918) (2694,9.917091665556654e-05) (223,9.806150774238631e-05) (2805,9.789148316485807e-05) (1912,9.765306458575651e-05)
218: (2858,0.0002140492433682084) (2997,0.00017423959798179567) (2762,0.00015700810763519257) (2683,0.00014581606956198812) (2959,0.0001448943221475929) (2706,0.00013972206215839833) (2355,0.00013614700583275408) (223,0.00013072251749690622) (2716,0.00012490712106227875) (3176,0.00011530834308359772) (2688,0.00010861516057047993) (3160,0.00010741671576397493) (2908,0.00010703298903536052) (3408,0.00010475087765371427) (2707,0.00010396301513537765) (3203,0.00010124777327291667) (785,9.999122994486243e-05) (2976,9.950694220606238e-05) (3793,9.870004578260705e-05)* (2881,9.763886919245124e-05)
219: (2997,0.00021580365137197077) (2706,0.00019559085194487125) (2959,0.0001512875605840236) (2599,0.00014619338617194444) (3578,0.00013938457414042205) (2694,0.0001392347039654851) (2716,0.00013705586025025696) (2355,0.0001364288036711514) (3114,0.00013152867904864252) (2707,0.00012293006875552237) (356,0.000119205673399847) (3005,0.00011718139285221696)* (2881,0.00011586931213969365) (318,0.0001146851500379853) (3481,0.0001114774277084507) (3753,0.00010920478962361813) (2502,0.00010831743566086516) (2688,0.00010772502719191834) (296,0.00010544186079641804) (589,0.00010503552766749635)
220: (260,0.00015347158478107303) (1196,0.00014866783749312162) (2571,0.00012127310765208676) (1210,0.00011849629663629457) (593,0.00011152432853123173) (1198,0.0001078907516784966)* (527,0.00010133100295206532)* (2028,9.897439304040745e-05) (2997,9.656908514443785e-05)* (589,9.498701547272503e-05) (2762,9.351983317174017e-05) (858,9.232018783222884e-05) (50,7.761606684653088e-05) (1193,7.646400626981631e-05) (1,7.35221037757583e-05)* (1213,7.174380880314857e-05) (1214,7.145595736801624e-05) (1097,7.050672866171226e-05) (3114,6.976949953241274e-05)* (1136,6.908029172336683e-05)
221: (2858,8.836623601382598e-05) (2571,7.493465818697587e-05) (2762,6.24761960352771e-05) (480,5.497829261003062e-05) (3160,5.393125684349798e-05) (2628,5.2537543524522334e-05) (3578,5.1028542657149956e-05) (110,5.092953142593615e-05) (3793,5.030511601944454e-05) (1997,4.863795402343385e-05) (2710,4.816940418095328e-05) (593,4.7918878408381715e-05) (589,4.704671664512716e-05) (2160,4.668125257012434e-05) (1219,4.565786002785899e-05) (296,4.560345405479893e-05) (1580,4.5236334699438885e-05) (3753,4.5102999138180166e-05) (3481,4.349947994342074e-05) (1089,4.3431711674202234e-05)
222: (541,0.00014289413229562342) (1200,0.00013999146176502109)* (1270,0.00013536842016037554) (1580,0.00012082592002116144) (110,0.00011325455125188455) (2762,0.00010458187171025202) (2916,0.00010199032112723216) (593,0.00010153448238270357) (3793,9.482860332354903e-05) (1356,9.326284634880722e-05) (750,9.225241956301033e-05) (3471,8.742656791582704e-05) (527,8.64657195052132e-05) (858,8.421544771408662e-05) (1199,8.098637772491202e-05) (1206,8.064919529715553e-05) (3175,8.010338933672756e-05) (1,7.970160368131474e-05) (457,7.87959506851621e-05) (3527,7.806055509718135e-05)
223: (1210,0.00010875843145186082)* (457,0.00010387848305981606) (260,0.00010353475227020681) (110,0.0001008332401397638) (480,9.763983689481393e-05)* (1196,8.847115532262251e-05) (1580,8.002269896678627e-05)* (2762,7.480772183043882e-05) (2628,6.910273805260658e-05) (1,6.898624269524589e-05)* (1036,6.771846528863534e-05) (2000,6.661280349362642e-05) (318,6.589236727450043e-05) (527,6.520187162095681e-05) (380,6.207892147358507e-05) (1265,5.955225060461089e-05) (1097,5.78942708671093e-05)* (2918,5.645175406243652e-05) (3753,5.438949301606044e-05) (2858,5.4379757784772664e-05)
224: (1198,0.0001419473410351202) (608,0.00013401771138887852) (2571,0.00013177139044273645)* (858,0.00013099606439936906) (1270,0.00012106297799618915) (1,0.00011203152098460123) (1617,0.00011124101729365066) (1265,0.00011036935757147148) (356,0.00010662830027285963) (3114,0.00010396711877547204) (1213,0.00010391352407168597) (480,0.00010270805796608329) (50,0.00010171110625378788) (1097,9.682620293460786e-05) (2804,9.56746080191806e-05)* (2716,9.480589505983517e-05) (1136,9.269163274439052e-05)* (34,8.876607898855582e-05) (457,8.501902630086988e-05) (1221,8.46025868668221e-05)
225: (318,9.510375093668699e-05) (2599,8.758698822930455e-05) (527,8.699570025783032e-05) (3481,6.173188739921898e-05)* (2289,5.969624180579558e-05)* (1704,5.917287489864975e-05) (223,5.623021206702106e-05) (2324,5.482525011757389e-05) (2959,5.4314095905283466e-05)* (111,5.2516490541165695e-05) (1673,5.200860323384404e-05)* (2028,5.15061074111145e-05) (778,5.026800135965459e-05)* (3176,4.941954102832824e-05) (1252,4.759252624353394e-05) (1225,4.6600427594967186e-05) (34,4.5056480303173885e-05) (265,4.368924783193506e-05)* (1265,4.366568828118034e-05) (1500,4.190685649518855e-05)
226: (2571,0.0004127176944166422) (260,0.0002891993208322674) (296,0.0002807066775858402) (589,0.0002765553945209831) (1617,0.00025698792887851596) (2916,0.00024412339553236961) (608,0.0002303124056197703) (2858,0.00021750651649199426) (457,0.00021456327522173524) (1089,0.00021415289666038007) (1196,0.0002138439449481666) (1210,0.00019618957594502717) (1200,0.00019563661771826446) (50,0.0001944980031112209) (1580,0.00018917206034529954) (2997,0.00018745077250059694) (2762,0.0001846332015702501) (1240,0.00017989314801525325) (1197,0.00017608478083275259) (1198,0.00017430052685085684)
