userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2858,14.890045166015625) (2396,14.315960884094238) (593,13.95844841003418) (318,13.902490615844727) (858,13.371723175048828) (1196,13.35035514831543) (1193,13.177972793579102)* (1198,13.17405891418457) (912,13.164117813110352) (1197,12.978717803955078) (2762,12.956230163574219)* (1225,12.740355491638184) (1265,12.728422164916992) (34,12.527816772460938) (356,12.313689231872559) (1617,12.16653060913086) (1259,12.082703590393066) (1307,12.074316024780273) (1210,12.057555198669434) (2997,11.875787734985352)
1789: (318,13.113529205322266) (296,13.111472129821777) (2396,12.417776107788086) (50,12.138236045837402)* (1617,12.138191223144531) (1704,10.705530166625977) (1265,10.611261367797852) (3160,10.58918571472168) (3481,10.47479248046875) (2324,10.405123710632324) (1193,10.219680786132812) (858,10.045083045959473) (3578,9.99905014038086)* (2908,9.759384155273438)* (1358,9.629701614379883) (1089,9.624006271362305) (34,9.599591255187988) (3408,9.547821044921875) (1197,9.495965003967285) (3006,9.484541893005371)
1790: (1198,23.912256240844727)* (480,21.486377716064453)* (1197,21.404956817626953) (2028,21.34453773498535)* (1036,20.428123474121094)* (2858,19.133026123046875) (2762,18.954721450805664) (2000,18.794353485107422)* (1387,18.530696868896484)* (1,17.97382164001465) (318,17.761035919189453) (2791,17.71905517578125)* (527,17.715564727783203) (1617,17.48532485961914) (1265,17.101560592651367)* (924,16.621482849121094) (2804,16.583810806274414)* (3578,16.323387145996094) (3421,16.266773223876953) (1356,16.186368942260742)*
1791: (1193,20.442970275878906) (858,20.282371520996094)* (593,18.804845809936523) (1225,18.639699935913086) (908,18.418685913085938) (318,18.160863876342773) (904,17.363555908203125) (2396,16.748754501342773) (50,16.653400421142578) (2289,16.212562561035156) (1208,15.88040542602539) (1136,15.810127258300781) (1394,15.56370735168457) (1094,15.525094032287598) (903,15.489139556884766) (1288,15.242664337158203) (34,15.232181549072266) (1267,15.19810676574707) (2064,15.09262466430664) (1219,15.035990715026855)*
1792: (2858,10.921233177185059)* (2762,10.570013999938965) (2396,10.102869033813477) (318,9.423650741577148) (1265,9.137201309204102) (2706,8.95509147644043) (2355,8.801895141601562) (1,8.765310287475586) (1704,8.703950881958008) (593,8.68742561340332) (597,8.631631851196289) (527,8.595046043395996) (3408,8.530856132507324) (2028,8.332260131835938) (2997,8.196454048156738) (11,8.178522109985352) (2683,8.03020191192627) (3578,7.929912567138672) (3255,7.767854690551758) (150,7.754127502441406)
1793: (2858,21.31565284729004) (260,19.370996475219727)* (1196,19.18021011352539)* (296,18.548002243041992)* (1617,18.09819793701172) (110,17.734416961669922)* (2396,17.050758361816406) (1193,16.815906524658203) (1259,16.564613342285156)* (356,16.393295288085938) (1136,15.927095413208008)* (1240,15.801055908203125) (1097,15.395267486572266)* (2716,15.092869758605957)* (2791,15.019681930541992)* (912,14.830270767211914) (3578,14.723356246948242)* (2918,14.614168167114258) (34,14.578453063964844) (1394,14.476959228515625)
1794: (2028,17.795591354370117) (593,17.15340232849121) (1240,16.382789611816406) (1197,16.23442268371582) (858,16.121509552001953) (2858,15.968827247619629) (457,15.883062362670898)* (2762,15.709981918334961) (608,15.409080505371094) (1214,14.92385482788086) (1580,14.727495193481445) (296,14.697687149047852) (50,14.592035293579102)* (1617,14.557733535766602) (1259,14.542242050170898)* (1221,14.0372314453125) (1,13.922664642333984) (1265,13.720932006835938)* (1136,13.60183334350586) (1193,13.548419952392578)
1795: (1198,13.346189498901367) (1210,13.211124420166016) (593,13.020718574523926) (1197,12.98901081085205) (2028,12.941593170166016) (2571,12.90684700012207) (2762,12.545980453491211) (589,12.533075332641602)* (318,12.32703971862793) (110,12.118215560913086) (608,12.09493350982666) (527,11.987347602844238) (356,11.9689302444458)* (1,11.93075180053711) (858,11.864114761352539) (480,11.643171310424805) (296,11.582311630249023) (2396,11.472848892211914) (1259,11.47247314453125) (1580,11.443323135375977)
1796: (912,25.434886932373047)* (1193,25.355533599853516) (608,24.87249755859375) (1225,24.18769073486328) (923,23.064292907714844)* (1252,23.025178909301758) (908,22.947490692138672) (111,22.486539840698242)* (904,21.85061264038086) (2396,21.43319320678711) (318,21.42530059814453) (1617,21.233386993408203) (2997,20.682493209838867) (1952,20.45271110534668) (1213,20.391000747680664)* (296,20.33612823486328) (910,20.012317657470703) (1094,19.91814422607422) (750,19.914979934692383) (34,19.725536346435547)
1797: (858,23.41221809387207)* (908,22.116710662841797)* (608,21.93528175354004) (1247,21.790672302246094)* (1225,21.615747451782227) (923,21.58489990234375) (111,20.791532516479492) (1617,19.344886779785156)* (593,19.173954010009766) (1244,18.971263885498047)* (2858,18.934951782226562) (924,18.549659729003906) (1219,18.397565841674805) (1304,18.392868041992188) (1136,18.230541229248047) (318,17.96214485168457) (1276,17.897565841674805)* (1299,17.86751937866211) (1196,17.69335174560547)* (1294,17.617488861083984)*
1798: (912,17.285663604736328) (608,17.242752075195312) (1193,17.180747985839844) (1230,16.94179916381836) (1225,16.162578582763672) (527,16.075210571289062) (908,15.997259140014648) (1247,15.844781875610352) (1252,15.62527847290039) (923,15.39083480834961)* (1617,15.132448196411133) (111,15.055341720581055) (919,15.033105850219727) (1207,14.970261573791504) (904,14.960065841674805) (318,14.951784133911133) (2396,14.737497329711914) (1221,14.733133316040039)* (296,14.311420440673828) (2997,14.242623329162598)
1799: (2997,16.177274703979492)* (318,16.096094131469727) (593,15.69866943359375) (296,15.680752754211426)* (2396,15.070905685424805) (1617,14.88983154296875) (1193,14.49333381652832) (2599,14.20005989074707) (50,14.083463668823242) (2324,13.601801872253418) (858,13.453418731689453) (1230,13.367143630981445) (2762,13.28569221496582)* (1704,13.081748008728027) (1225,13.004743576049805)* (2289,12.940410614013672) (34,12.715517044067383) (912,12.682846069335938) (1247,12.43453598022461) (111,12.41445541381836)*
1800: (2858,18.672773361206055)* (593,17.979902267456055) (2028,17.801803588867188)* (2571,17.273595809936523)* (318,16.724693298339844) (2762,16.68489646911621) (1197,16.53314781188965)* (1617,15.96940803527832)* (1270,15.691444396972656) (457,15.197009086608887) (1265,14.910636901855469) (2396,14.788466453552246) (2997,14.499456405639648)* (1580,14.473247528076172)* (1136,14.439027786254883) (1221,14.248189926147461) (1036,14.224447250366211) (1214,14.15052604675293) (1097,14.088068008422852) (2716,13.85181713104248)
1801: (2028,10.911439895629883) (2762,10.425259590148926) (318,10.189123153686523) (2571,10.10991096496582) (589,10.104701042175293) (260,9.961637496948242) (356,9.937650680541992) (527,9.92182445526123) (1210,9.879592895507812) (1196,9.81161117553711) (1198,9.706209182739258) (608,9.269413948059082) (457,9.23632526397705) (296,8.998029708862305) (1580,8.987447738647461) (1,8.903097152709961) (1270,8.853931427001953) (1197,8.831079483032227) (3578,8.784380912780762) (2396,8.77208423614502)
1802: (593,20.900325775146484)* (1617,19.88429069519043) (296,19.35889434814453) (1196,19.225994110107422) (1252,17.93948745727539)* (2997,17.809036254882812) (750,17.551326751708984) (1197,17.474313735961914) (904,17.163230895996094) (924,16.657339096069336) (1207,16.610437393188477) (1394,16.232330322265625) (1214,16.041135787963867)* (1270,15.999031066894531) (1210,15.80656909942627) (1304,15.790311813354492) (1265,15.789905548095703) (1288,15.673175811767578)* (1240,15.429597854614258)* (1097,15.409074783325195)
1803: (1210,17.854759216308594) (260,16.990558624267578) (1196,16.45197296142578) (2628,16.074878692626953)* (1198,15.943809509277344) (1240,15.775070190429688) (1610,15.122720718383789)* (1036,14.878814697265625) (1291,14.69857120513916) (1200,14.158740997314453) (1270,14.049947738647461) (1527,14.030118942260742) (1214,13.777528762817383) (1197,13.626642227172852) (2000,13.494014739990234) (1127,13.375615119934082) (1374,13.3662109375) (349,13.299715042114258) (3527,13.248764038085938) (316,13.02338695526123)
1804: (260,15.786460876464844)* (2858,15.706605911254883) (2028,15.512962341308594)* (1196,15.487593650817871)* (2571,14.868609428405762) (318,14.636035919189453) (589,14.545610427856445) (110,14.474124908447266) (608,14.424741744995117) (858,14.091785430908203) (1197,13.765392303466797) (296,13.63923454284668) (1617,13.605446815490723)* (1270,13.552323341369629) (480,13.501843452453613)* (50,13.298460006713867)* (457,13.168024063110352) (1240,13.130805969238281) (356,13.120089530944824) (1097,12.517759323120117)
1805: (260,20.790353775024414)* (1198,19.71527862548828) (2028,18.71329116821289) (858,18.641563415527344)* (589,18.156089782714844) (527,17.956295013427734) (110,17.273193359375)* (1240,17.163761138916016) (50,17.15984344482422)* (1136,16.832857131958008) (1259,16.74824333190918) (1193,16.503854751586914) (1214,16.37692642211914) (480,16.182973861694336) (1221,16.09600067138672) (541,15.951305389404297) (457,15.802541732788086) (1200,15.728811264038086) (1580,15.659089088439941)* (2791,15.605588912963867)
1806: (2858,17.311939239501953)* (2571,16.87938117980957)* (1210,16.267221450805664) (480,16.239063262939453)* (260,15.667856216430664) (1196,15.375663757324219) (1198,15.14615535736084) (1270,14.797740936279297) (2396,14.78270149230957)* (1197,14.763526916503906) (2628,13.96208381652832) (2706,13.592933654785156) (1610,13.431364059448242)* (296,13.310949325561523) (608,13.13895320892334)* (1097,13.123148918151855) (1291,13.027423858642578) (733,13.005507469177246) (1923,12.93185806274414) (1240,12.780466079711914)
1807: (2571,18.071311950683594)* (589,17.90454864501953)* (2858,17.70177459716797) (1210,17.487468719482422)* (608,16.560909271240234) (2762,16.40883445739746) (318,16.36736488342285) (457,15.962918281555176)* (1270,15.732898712158203)* (1617,15.635074615478516) (1214,14.860605239868164) (1580,14.713390350341797) (1200,14.61409854888916) (1,13.996281623840332) (1387,13.960287094116211) (2916,13.944908142089844)* (2000,13.866766929626465) (1193,13.851457595825195) (3578,13.845191955566406) (2716,13.759296417236328)
1808: (2762,7.832553863525391) (2858,7.507608413696289) (2355,7.359722137451172) (356,7.1617913246154785) (3578,7.1471452713012695) (480,7.067584991455078) (1,6.923381805419922) (1580,6.702126979827881) (2571,6.694051742553711) (2396,6.557589054107666) (3793,6.548060894012451) (110,6.547346115112305) (1210,6.477938652038574) (2706,6.424544334411621) (3408,6.343640327453613) (589,6.158716678619385) (2628,6.119472026824951) (2028,6.110030651092529) (2683,6.0858154296875) (588,5.9778032302856445)
1809: (318,9.50312614440918) (2959,9.399779319763184)* (223,9.264906883239746) (2706,9.092193603515625) (593,8.988598823547363) (296,8.973031044006348) (608,8.911548614501953) (527,8.561723709106445) (3408,8.369651794433594) (2395,8.241205215454102) (50,8.2274169921875) (3160,8.177133560180664) (2336,8.175737380981445) (1704,8.161761283874512) (1617,8.140510559082031) (2355,8.052938461303711) (1265,7.949275970458984) (3578,7.816263198852539) (2324,7.783198356628418) (1784,7.768131256103516)
1810: (608,15.616147994995117) (858,15.477359771728516) (1193,15.422685623168945) (1230,15.209985733032227) (1252,15.033973693847656) (908,14.625974655151367) (1247,14.307222366333008) (1225,14.304780960083008) (527,14.14830207824707) (904,14.090734481811523) (923,14.077363967895508) (2858,14.03624153137207) (111,13.89682674407959) (593,13.874687194824219) (1207,13.494686126708984) (1221,13.386102676391602) (919,13.207718849182129) (750,13.173542022705078) (318,12.941232681274414) (296,12.7314453125)
1811: (608,11.129325866699219) (2997,10.964557647705078)* (593,10.641630172729492) (527,10.627815246582031) (318,10.368712425231934) (1617,10.083520889282227) (912,9.770484924316406) (296,9.68205451965332) (260,9.543830871582031) (1196,9.344874382019043) (2599,9.306262969970703) (1230,9.270841598510742) (1225,9.227933883666992) (2028,9.16927719116211) (908,9.136499404907227) (50,9.056028366088867) (919,9.054788589477539) (1198,9.010398864746094) (1213,9.009099006652832) (1197,8.974207878112793)
1812: (593,26.556156158447266)* (1270,26.220176696777344)* (318,25.624679565429688)* (527,25.555500030517578) (2028,25.194171905517578)* (858,24.763092041015625) (1,24.26383399963379) (110,23.319259643554688) (1617,23.28142738342285) (296,23.099960327148438)* (2997,22.47046661376953)* (1240,22.423322677612305)* (50,22.22988510131836)* (2791,22.115482330322266) (1225,21.809772491455078)* (34,21.631061553955078) (457,21.570396423339844) (1291,21.10003662109375)* (3114,21.09335708618164) (1221,20.993623733520508)
1813: (2396,11.654951095581055) (2997,11.410810470581055) (2599,10.795348167419434) (1230,10.203086853027344) (608,10.152606964111328) (2908,10.032352447509766) (2324,9.92422103881836) (318,9.830487251281738) (527,9.686996459960938) (265,9.684816360473633) (34,9.320356369018555) (2336,9.31010627746582) (2289,9.302117347717285) (1041,9.117494583129883) (1193,8.897984504699707) (1247,8.809545516967773) (1225,8.792871475219727) (36,8.761695861816406) (296,8.734196662902832) (912,8.679670333862305)
1814: (480,12.347476959228516)* (260,12.297842025756836) (1210,12.27458381652832) (1240,11.630084991455078) (1196,11.616541862487793) (1214,10.799795150756836) (1198,10.707468032836914) (1200,10.705533981323242) (780,10.317622184753418) (1374,10.264562606811523) (1356,10.159896850585938) (457,9.788430213928223) (1036,9.72846508026123) (1291,9.661239624023438) (3527,9.61137580871582) (1610,9.444586753845215) (1270,9.277191162109375) (1127,9.184957504272461) (541,9.082046508789062) (733,9.030969619750977)
1815: (589,13.159196853637695) (1210,12.451247215270996) (1196,12.17174243927002)* (1240,11.29074764251709) (1198,11.24863338470459) (1214,10.553054809570312) (2916,10.463851928710938) (1200,10.451050758361816) (2028,10.449146270751953) (2628,10.18964672088623)* (1270,10.07017993927002)* (1197,9.972596168518066) (457,9.856554985046387) (2762,9.75625991821289) (3793,9.656479835510254) (1374,9.634734153747559) (1291,9.607053756713867) (1036,9.493829727172852) (593,9.475054740905762) (541,9.395427703857422)
1816: (260,18.72092628479004)* (1198,17.448362350463867) (1240,16.818897247314453) (1210,16.794498443603516) (1214,16.429134368896484) (2571,15.715522766113281)* (858,15.548604965209961) (1200,15.430200576782227) (1270,14.651849746704102) (480,14.633129119873047) (541,14.572578430175781) (1387,14.561712265014648)* (1197,14.188037872314453) (1291,13.964341163635254) (1221,13.78246021270752) (593,13.769399642944336) (1097,13.747673034667969) (1374,13.734984397888184) (924,13.49499797821045) (1580,13.22906494140625)
1817: (1198,15.54286003112793) (1240,14.626016616821289)* (480,14.145800590515137) (110,14.020901679992676) (1197,13.837377548217773) (1270,13.693145751953125) (858,13.454935073852539) (1200,13.453203201293945) (541,12.968547821044922) (2762,12.873031616210938) (457,12.735652923583984) (608,12.70138168334961) (1036,12.633094787597656) (1097,12.459223747253418) (1291,12.448856353759766) (1617,12.419185638427734)* (2916,12.395187377929688) (527,12.273317337036133) (50,12.038573265075684) (296,12.013446807861328)
1818: (1210,14.812196731567383) (1198,14.609933853149414) (589,13.755584716796875) (2571,13.751897811889648) (1270,13.334075927734375) (1240,13.277939796447754) (480,13.133493423461914) (1197,13.038562774658203) (110,12.537714958190918) (2028,12.48244857788086) (1580,12.350156784057617) (1214,12.332548141479492) (1291,12.057403564453125) (1200,11.920817375183105) (593,11.902731895446777) (858,11.882022857666016) (1036,11.84011459350586) (457,11.51938247680664) (1374,11.473228454589844) (2628,11.234074592590332)
1819: (1210,16.217323303222656)* (541,16.010530471801758)* (2571,15.404424667358398) (593,15.256868362426758) (608,15.252349853515625) (924,15.126920700073242)* (1197,15.001068115234375) (1193,14.819099426269531) (2028,14.759197235107422) (912,14.559965133666992) (1617,14.40936279296875) (1136,14.360498428344727) (2858,14.142801284790039) (527,14.081231117248535) (919,13.879051208496094) (110,13.79994010925293)* (480,13.413017272949219)* (1304,13.382965087890625)* (1252,13.356152534484863) (50,13.161476135253906)
1820: (260,23.24213409423828)* (1198,22.01357078552246) (1210,21.46377182006836) (2571,21.056541442871094) (1270,19.431568145751953)* (1036,18.41836166381836)* (608,18.11545753479004) (1291,17.653553009033203) (541,17.638904571533203) (1097,17.51389503479004) (527,17.500457763671875) (1136,17.077795028686523) (2000,16.626197814941406)* (1,16.150876998901367)* (924,16.00347137451172) (1265,15.565803527832031)* (2628,15.428328514099121) (1213,15.363485336303711)* (750,15.25532054901123) (3421,15.049341201782227)*
1821: (912,14.672431945800781) (1252,14.103900909423828) (1230,14.033966064453125) (908,13.315049171447754) (1247,13.02084732055664) (904,12.993850708007812) (858,12.87417221069336) (1193,12.872329711914062) (1207,12.467403411865234) (1225,12.23741340637207) (750,12.131187438964844) (1267,12.100419044494629) (1244,11.875969886779785) (913,11.788570404052734) (919,11.7783203125) (903,11.689207077026367) (910,11.649375915527344) (1952,11.597382545471191) (608,11.468487739562988) (1212,11.386117935180664)
1822: (858,17.880565643310547) (2858,17.708675384521484)* (608,17.686077117919922)* (1196,17.44306182861328) (1198,17.142332077026367) (1193,16.587064743041992) (318,16.361125946044922) (1197,16.252294540405273) (1617,16.078384399414062) (1270,15.611928939819336) (912,15.555469512939453) (1221,15.519405364990234) (1136,15.423877716064453) (1259,15.378772735595703) (1225,15.354837417602539) (1210,15.236333847045898) (50,15.114517211914062) (2396,15.042539596557617) (919,14.758996963500977) (1213,14.712915420532227)
1823: (2396,12.458552360534668)* (2858,11.77538776397705) (318,10.455986976623535) (527,10.361637115478516) (1265,10.180145263671875) (2997,9.887042045593262) (608,9.527490615844727) (357,9.484417915344238) (356,9.272103309631348) (1230,9.266403198242188) (1307,9.262716293334961) (2762,9.235479354858398) (1704,9.190445899963379) (593,9.178386688232422) (2599,9.171698570251465) (1225,9.026945114135742) (39,9.021581649780273) (912,9.021536827087402) (1094,8.963712692260742) (1,8.92066764831543)*
1824: (318,15.764233589172363) (2762,15.182699203491211) (527,15.170656204223633)* (593,15.116207122802734) (2396,15.11551284790039)* (608,14.321035385131836) (2997,13.67795181274414) (1704,13.63528060913086)* (356,13.621196746826172) (2028,13.611549377441406)* (296,13.582995414733887) (1265,13.206208229064941) (1617,12.794065475463867) (50,12.487821578979492) (1213,12.258246421813965) (1,12.200752258300781) (34,12.023365020751953) (1393,11.912978172302246) (2599,11.743475914001465) (150,11.714174270629883)*
1825: (2858,18.999561309814453) (2396,16.688875198364258) (527,16.604814529418945) (608,15.979571342468262) (2997,15.285228729248047) (296,14.926170349121094) (1265,14.393260955810547) (356,14.100106239318848)* (1617,14.078594207763672) (2324,13.796092987060547) (1213,13.59994125366211) (50,13.586891174316406) (1193,13.467564582824707) (34,13.413930892944336) (2599,13.400566101074219) (1225,12.551876068115234) (858,12.473684310913086) (1307,12.382741928100586) (2336,12.19795036315918) (1641,12.132621765136719)
1826: (260,16.68475914001465) (1196,15.970983505249023) (1198,15.093538284301758) (1210,14.825315475463867) (1240,14.516945838928223) (1214,14.18420124053955) (541,13.4244966506958)* (858,13.4241304397583) (1197,13.264673233032227) (480,12.509293556213379) (924,12.316622734069824)* (1097,12.245712280273438) (2028,12.234794616699219) (1036,12.124347686767578) (593,12.03439712524414) (110,11.971481323242188) (1291,11.85145378112793) (1387,11.826976776123047) (1221,11.750968933105469) (608,11.454933166503906)
1827: (608,14.005584716796875)* (593,13.62520980834961) (527,12.888389587402344) (318,12.8065824508667)* (858,12.72850227355957) (1193,12.169988632202148) (50,12.127082824707031) (2028,11.8894681930542) (2762,11.825591087341309) (2396,11.80233383178711) (1196,11.757373809814453) (1213,11.543858528137207) (1198,11.342427253723145) (1197,11.240959167480469) (912,11.008411407470703) (1221,10.896862983703613) (1136,10.881001472473145) (1265,10.671184539794922) (1225,10.665512084960938) (2599,10.38062858581543)
1828: (2858,19.091960906982422)* (608,15.665412902832031) (593,15.63836669921875) (296,15.377634048461914)* (2762,15.19640827178955) (2396,14.317665100097656) (2599,13.468379020690918) (1265,12.687163352966309) (858,12.231334686279297) (2324,12.128753662109375) (356,11.623846054077148) (1358,11.568521499633789) (1197,11.41167163848877) (3160,11.342277526855469) (1259,11.292510986328125) (3578,11.288494110107422) (3897,11.256195068359375) (1,11.252456665039062) (2692,11.0806245803833) (3176,11.010948181152344)
1829: (2858,12.973581314086914) (1193,11.797155380249023) (1617,11.782670974731445) (296,11.770116806030273)* (858,11.715885162353516) (527,11.572056770324707) (2997,11.307022094726562) (318,11.133525848388672) (1230,10.9226655960083) (912,10.894598007202148) (1213,10.862229347229004) (111,10.850258827209473) (50,10.843513488769531)* (1252,10.69538688659668) (908,10.455232620239258) (1225,10.419876098632812) (923,10.365241050720215) (1247,10.161090850830078) (1221,10.107585906982422) (2289,9.904460906982422)
1830: (2571,13.13057804107666) (480,12.333236694335938) (1196,11.809714317321777)* (1198,11.338850975036621) (1580,11.100959777832031)* (110,11.008943557739258) (1200,10.882955551147461) (2628,10.812929153442383) (1214,10.704631805419922) (1291,10.556589126586914)* (780,10.485754013061523) (1374,10.299331665039062) (1610,10.192459106445312) (3527,10.1073637008667)* (1356,9.790709495544434) (2028,9.631241798400879) (1527,9.565814018249512) (2000,9.479325294494629) (1270,9.375304222106934) (1127,9.07443904876709)
1831: (2762,13.315409660339355) (2396,12.071023941040039) (318,11.885747909545898) (2706,10.675491333007812)* (1265,10.339799880981445) (3578,10.237283706665039)* (2355,10.175312042236328)* (1,9.923948287963867) (356,9.768893241882324) (3408,9.369359016418457) (1784,9.342487335205078) (3160,9.328052520751953) (2324,9.223005294799805) (110,9.196651458740234)* (1923,9.158773422241211) (3481,9.147814750671387) (3897,9.117408752441406) (2692,9.082799911499023) (34,8.911223411560059) (2336,8.780435562133789)
1832: (2858,16.510589599609375) (608,15.223060607910156) (2997,14.888275146484375) (527,14.41726303100586) (318,14.361881256103516) (2396,14.286985397338867) (1230,14.129983901977539) (1094,14.002955436706543) (2599,13.730361938476562) (265,13.53955078125) (1193,13.503097534179688) (2289,13.288883209228516) (296,13.123177528381348) (36,13.050426483154297) (1225,12.824601173400879) (593,12.718951225280762) (1247,12.69580078125) (1213,12.69247817993164) (3006,12.538410186767578) (2336,12.45142936706543)
1833: (2762,14.90385627746582) (2997,14.721464157104492)* (50,14.43083667755127) (2396,14.044214248657227) (1213,13.926679611206055)* (858,13.391138076782227) (1193,13.061016082763672) (1265,12.75534439086914) (2599,12.288562774658203) (1197,12.082645416259766) (356,12.067567825317383) (1196,12.043646812438965) (1198,11.937984466552734) (1358,11.879913330078125) (2959,11.748982429504395)* (1,11.632219314575195) (34,11.61672592163086) (2571,11.55589771270752) (1221,11.37142562866211) (1089,11.352285385131836)*
1834: (260,14.749638557434082) (1210,14.263312339782715) (1196,14.170547485351562) (2571,13.97148323059082) (589,13.676733016967773) (2858,13.270242691040039) (2762,13.261241912841797) (480,13.18077278137207) (110,12.828179359436035) (2028,12.818096160888672) (1270,12.801265716552734) (1197,12.669254302978516) (1240,12.401639938354492) (1580,12.388081550598145) (593,12.363739967346191) (356,11.732393264770508) (457,11.529830932617188) (1291,11.287683486938477) (318,11.281425476074219) (1200,11.202047348022461)
1835: (593,31.364879608154297)* (2028,28.76464080810547) (1193,28.063339233398438) (2762,27.91720962524414)* (2396,27.514575958251953)* (1259,26.57699203491211)* (1136,26.043617248535156) (1221,25.975357055664062)* (1225,25.494646072387695) (1,24.707294464111328)* (1307,23.989482879638672)* (34,23.889297485351562)* (908,23.733013153076172) (541,23.686946868896484)* (1230,23.486968994140625) (111,23.464460372924805) (1247,23.30089569091797) (1079,23.205787658691406)* (750,22.996273040771484) (924,22.796775817871094)
1836: (912,27.674129486083984) (50,26.46967887878418)* (1247,26.416187286376953) (908,25.52737808227539)* (923,25.24395751953125) (2324,24.978586196899414)* (2762,24.636035919189453) (2289,24.60239601135254)* (1079,23.017353057861328)* (2064,22.81313705444336)* (1196,22.797670364379883) (1208,22.776771545410156) (1198,22.733638763427734) (260,22.54034423828125) (750,22.347713470458984) (3006,21.57598114013672) (3424,21.411415100097656)* (903,21.341289520263672) (1641,21.314809799194336) (1228,21.233858108520508)*
1837: (2858,29.853931427001953)* (527,27.975936889648438)* (1193,27.122787475585938)* (2028,26.11263656616211)* (1197,25.218406677246094) (1221,24.984830856323242) (2762,24.47732162475586)* (2997,24.467342376708984) (1230,23.090938568115234) (908,22.936092376708984) (1394,22.789016723632812) (1247,22.718900680541992) (2571,22.346847534179688) (589,22.060928344726562)* (34,21.91400146484375)* (1208,21.8935546875) (2791,21.804309844970703)* (923,21.748167037963867) (1214,21.64700698852539)* (1304,21.4306640625)
1838: (2858,7.8682942390441895) (2762,7.626220703125) (3578,6.985209941864014) (2028,6.603028774261475) (318,6.49848747253418) (593,6.432457447052002) (3753,6.290011405944824) (356,6.273128509521484) (110,6.254667282104492) (2706,6.1982574462890625) (3408,6.05202054977417) (2959,6.038983345031738) (2571,5.927922248840332) (1704,5.9031267166137695) (296,5.796595573425293) (3147,5.78529167175293) (527,5.767399787902832) (2997,5.712510108947754) (1784,5.691571235656738) (50,5.594082355499268)
1839: (110,13.898395538330078)* (260,13.36574935913086) (1196,13.109421730041504) (1198,12.826309204101562) (2762,12.552727699279785)* (593,12.489261627197266) (1580,12.42385196685791)* (1240,11.975395202636719) (2916,11.793846130371094) (1610,11.622518539428711) (1036,11.482758522033691) (1197,11.317293167114258) (318,11.110627174377441) (356,11.080913543701172) (296,11.051549911499023) (1291,11.04450798034668) (1270,11.036847114562988) (733,10.969949722290039) (1200,10.829680442810059) (780,10.714004516601562)
1840: (1196,14.125604629516602) (1198,13.298406600952148) (1240,13.108539581298828) (1210,12.953131675720215) (589,12.823322296142578) (2571,12.306339263916016) (858,12.158588409423828) (1200,12.109137535095215) (924,11.346755981445312) (1270,11.29450798034668) (1197,11.008305549621582) (750,10.96148681640625) (480,10.909339904785156) (1036,10.786369323730469) (1374,10.756843566894531) (1387,10.7199068069458) (1221,10.710618019104004) (1097,10.549352645874023) (110,10.427791595458984)* (1291,10.374086380004883)
1841: (593,14.97426986694336) (318,14.967569351196289)* (2396,13.618762969970703) (50,13.316511154174805) (1617,13.147262573242188) (1704,12.58474349975586) (1213,12.47882080078125)* (1265,12.470315933227539) (356,12.380475044250488)* (2599,11.94649887084961) (110,11.931856155395508) (3578,11.521435737609863) (858,11.320204734802246) (1197,11.27879524230957) (1193,11.017189979553223) (2706,10.98888874053955)* (1923,10.938167572021484) (1259,10.849628448486328) (1196,10.795487403869629) (1198,10.760455131530762)
1842: (2858,29.898597717285156)* (858,23.550613403320312)* (1193,22.668071746826172)* (1265,22.183937072753906) (260,21.971988677978516)* (1196,21.951093673706055)* (1197,21.76163101196289) (1259,20.881547927856445) (356,20.41632843017578)* (110,20.365882873535156) (1136,20.207298278808594)* (2571,20.12807846069336) (912,20.06637954711914) (1270,19.81224250793457) (2804,19.23516082763672) (1394,19.157621383666992) (589,18.878223419189453)* (1307,18.876739501953125) (1230,18.853063583374023) (919,18.77412986755371)
1843: (608,20.476076126098633) (2858,20.01390266418457) (593,18.730865478515625) (912,18.679336547851562) (1617,18.06142234802246) (1225,17.9738826751709) (318,17.848186492919922) (296,17.76845932006836) (1221,17.45556640625) (111,17.349639892578125) (1247,17.291536331176758) (2997,17.126087188720703) (1213,16.991539001464844) (2396,16.464460372924805) (50,16.431421279907227) (1196,16.354103088378906)* (919,16.2861270904541) (904,16.27867889404297) (1207,16.265369415283203) (1198,16.034019470214844)
1844: (2858,12.006486892700195) (2997,10.85291862487793) (2599,9.972184181213379) (608,9.84093952178955) (296,9.11436653137207) (2396,9.00886344909668) (318,8.945548057556152) (2908,8.864079475402832) (527,8.589922904968262) (3160,8.441198348999023) (2324,8.398476600646973) (2289,8.35264778137207) (593,8.326457023620605)* (3481,8.311114311218262) (1213,8.303213119506836) (1230,8.142187118530273) (2395,8.088370323181152) (50,7.972887992858887) (1193,7.8912553787231445) (3006,7.739126205444336)
1845: (2858,22.150157928466797) (1230,18.70115089416504) (527,18.222728729248047)* (318,18.170814514160156) (1193,18.09832191467285) (2396,18.03426742553711) (2289,17.61382484436035)* (1617,17.442569732666016) (593,17.345897674560547)* (1213,17.310653686523438) (2324,16.886320114135742) (1225,16.710540771484375) (1094,16.70173454284668) (1247,16.58434295654297) (912,16.43668556213379) (2908,16.380329132080078) (50,16.064870834350586) (858,15.972099304199219) (1041,15.525874137878418)* (1252,15.512992858886719)
